pl_name,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
K2-136 d,Transit,25.57500000,0.00240000,-0.00230000,0,3.00000,,,1
Kepler-100 d,Transit,35.33310000,,,0,3.00000,,,1
Kepler-102 c,Transit,7.07142000,,,0,3.00000,,,1
Kepler-105 c,Transit,7.12600000,,,0,3.00000,9.20000,-2.00000,0
TOI-178 d,Transit,6.55770000,0.00001600,-0.00001600,0,3.01000,0.80000,-1.03000,0
TOI-431 b,Transit,0.49004700,0.00001000,-0.00000700,0,3.07000,0.35000,-0.35000,0
Kepler-20 e,Transit,6.09849300,0.00006500,-0.00006500,0,3.08000,,,1
HD 260655 c,Transit,5.70588000,0.00007000,-0.00007000,0,3.09000,0.48000,-0.48000,0
K2-138 b,Transit,2.35309000,0.00022000,-0.00022000,0,3.10000,1.05000,-1.05000,0
K2-3 c,Transit,24.64638000,0.00017000,-0.00017000,0,3.10000,1.30000,-1.20000,0
Kepler-307 b,Transit,10.41600000,,,0,3.10000,0.60000,-0.50000,0
Kepler-47 c,Transit,303.22700000,0.06200000,-0.02700000,0,3.17000,2.18000,-1.25000,0
Kepler-37 b,Transit,13.36731000,0.00007100,-0.00007100,0,3.17830,3.17830,-3.17830,0
Kepler-254 c,Transit,12.41200000,,,0,3.20000,3.70000,-2.70000,0
Kepler-407 b,Transit,0.66931000,,,0,3.20000,,,1
TOI-561 b,Transit,0.44657300,0.00003200,-0.00002100,0,3.20000,0.80000,-0.80000,0
TOI-1468 b,Transit,1.88051360,0.00000240,-0.00000260,0,3.21000,0.24000,-0.24000,0
Kepler-10 b,Transit,0.83750100,0.00000500,-0.00000400,0,3.24000,0.28000,-0.28000,0
Kepler-595 c,Transit,12.38602000,0.00000500,-0.00000500,0,3.30000,1.70000,-1.00000,0
Kepler-10 b,Transit,0.83749070,0.00000020,-0.00000020,0,3.33000,0.49000,-0.49000,0
GJ 3090 b,Transit,2.85313600,0.00006400,-0.00003800,0,3.34000,0.72000,-0.72000,0
Kepler-79 e,Transit,81.06400000,,,0,3.40000,1.00000,-0.80000,0
HD 23472 c,Transit,29.79749000,0.00013000,-0.00014000,0,3.41000,0.88000,-0.81000,0
GJ 9827 b,Transit,1.20898020,0.00000840,-0.00000810,0,3.42000,1.20000,-0.76000,0
TOI-1685 b,Transit,0.66914160,0.00000190,-0.00000190,0,3.43000,0.93000,-0.93000,0
Kepler-414 b,Transit Timing Variations,4.70000000,,,0,3.50000,3.40000,-2.90000,0
Kepler-107 b,Transit,3.18002180,0.00000290,-0.00000290,0,3.51000,1.52000,-1.52000,0
Kepler-97 b,Transit,2.58664000,,,0,3.51000,1.90000,-1.90000,0
Kepler-98 b,Transit,1.54168000,,,0,3.55000,1.60000,-1.60000,0
Kepler-10 b,Transit,0.83700000,,,0,3.57000,0.51000,-0.53000,0
Kepler-105 c,Transit,7.12600000,,,0,3.60000,1.30000,-1.30000,0
pi Men c,Transit,6.26785200,0.00001600,-0.00001600,0,3.63000,0.38000,-0.38000,0
Kepler-307 c,Transit,13.07290000,0.00120000,-0.00120000,0,3.64000,0.65000,-0.58000,0
GJ 9827 b,Transit,1.20896600,0.00001200,-0.00001200,0,3.69000,0.48000,-0.46000,0
Kepler-51 b,Transit,45.15420000,0.00030000,-0.00030000,0,3.69000,1.86000,-1.59000,0
HD 21749 c,Transit,7.78993000,0.00051000,-0.00044000,0,3.70000,,,1
Kepler-60 b,Transit,7.13300000,,,0,3.70000,0.60000,-0.60000,0
Kepler-80 d,Transit,3.07200000,,,0,3.70000,0.80000,-0.60000,0
Kepler-10 b,Transit,0.83749070,0.00000020,-0.00000020,0,3.72000,0.42000,-0.42000,0
Kepler-101 c,Transit,6.02976000,0.00007500,-0.00007500,0,3.78000,,,1
TOI-1685 b,Transit,0.66914030,0.00000230,-0.00000210,0,3.78000,0.63000,-0.63000,0
Kepler-102 d,Transit,10.31170000,,,0,3.80000,1.80000,-1.80000,0
Kepler-107 d,Transit,7.95839000,0.00012000,-0.00012000,0,3.80000,,,1
Kepler-60 d,Transit,11.90300000,0.00100000,-0.00100000,0,3.80000,1.10000,-1.10000,0
Kepler-93 b,Transit,4.72673978,0.00000097,-0.00000097,0,3.80000,1.50000,-1.50000,0
Kepler-138 c,Transit,13.78164000,0.00019000,-0.00014000,0,3.83000,1.51000,-1.26000,0
Kepler-36 b,Transit,13.86825000,0.00050000,-0.00050000,0,3.83000,0.11000,-0.10000,0
Kepler-60 c,Transit,8.91870000,0.00020000,-0.00020000,0,3.85000,0.81000,-0.81000,0
TOI-178 e,Transit,9.96188100,0.00004200,-0.00004200,0,3.86000,1.25000,-0.94000,0
TOI-1444 b,Transit,0.47026940,0.00000440,-0.00000440,0,3.87000,0.71000,-0.71000,0
K2-36 b,Transit,1.42261400,0.00003800,-0.00003800,0,3.90000,1.10000,-1.10000,0
Kepler-114 d,Transit,11.77600000,,,0,3.90000,1.70000,-1.70000,0
Kepler-307 c,Transit,13.07300000,,,0,3.90000,0.70000,-0.69000,0
Kepler-307 c,Transit,13.08400000,,,0,3.90000,0.70000,-0.70000,0
Kepler-36 b,Transit,13.84800000,,,0,3.90000,0.20000,-0.20000,0
Kepler-51 c,Transit,85.31600000,,,0,3.90000,0.80000,-0.80000,0
Kepler-60 d,Transit,11.89900000,,,0,3.90000,0.70000,-0.60000,0
PSR B1257+12 d,Pulsar Timing,98.21140000,0.00020000,-0.00020000,0,3.90000,0.20000,-0.20000,0
Kepler-33 d,Transit,21.77600000,,,0,3.91000,1.87000,-1.80000,0
Kepler-48 b,Transit,4.77800000,,,0,3.94000,2.10000,-2.10000,0
TOI-178 g,Transit,20.70950000,0.00014000,-0.00011000,0,3.94000,1.31000,-1.62000,0
Kepler-223 b,Transit,7.38500000,,,0,4.00000,1.70000,-2.10000,0
Kepler-289 d,Transit,66.06340000,0.01140000,-0.01140000,0,4.00000,0.90000,-0.90000,0
Kepler-29 c,Transit,13.28840000,0.00050000,-0.00050000,0,4.00000,1.23000,-1.29000,0
Kepler-51 c,Transit,85.31200000,0.00300000,-0.00200000,0,4.00000,0.40000,-0.40000,0
Kepler-62 c,Transit,12.44170000,0.00010000,-0.00010000,0,4.00000,,,1
TOI-776 b,Transit,8.24661000,0.00005000,-0.00004000,0,4.00000,0.90000,-0.90000,0
Kepler-93 b,Transit,4.72673978,0.00000097,-0.00000097,0,4.02000,0.68000,-0.68000,0
GJ 9827 d,Transit,6.20146980,0.00006260,-0.00006110,0,4.04000,0.82000,-0.84000,0
HD 137496 b,Transit,1.62116000,0.00007910,-0.00008060,0,4.04000,0.55000,-0.55000,0
CoRoT-7 b,Transit,0.85359163,0.00000001,-0.00000001,0,4.07661,1.01982,-1.01982,0
Kepler-33 d,Transit,21.77600000,,,0,4.10000,1.70000,-2.00000,0
Kepler-60 b,Transit,7.13200000,0.00050000,-0.00050000,0,4.10000,0.70000,-0.70000,0
Kepler-79 e,Transit,81.06590000,0.00130000,-0.00110000,0,4.10000,1.20000,-1.10000,0
Kepler-80 e,Transit,4.64489000,0.00020000,-0.00019000,0,4.13000,0.81000,-0.95000,0
Kepler-65 d,Transit,8.13167000,0.00024000,-0.00021000,0,4.14000,0.79000,-0.80000,0
Kepler-60 d,Transit,11.89810000,0.00020000,-0.00020000,0,4.16000,0.84000,-0.75000,0
Kepler-60 b,Transit,7.13340000,0.00010000,-0.00010000,0,4.19000,0.56000,-0.52000,0
K2-3 c,Transit,24.64540000,0.00130000,-0.00130000,0,4.20000,,,1
K2-136 b,Transit,7.97520000,0.00079000,-0.00079000,0,4.30000,,,1
Kepler-102 b,Transit,5.28696000,,,0,4.30000,,,1
Kepler-11 b,Transit,10.30375000,0.00016000,-0.00016000,0,4.30000,2.20000,-2.00000,0
Kepler-11 b,Transit,10.30400000,,,0,4.30000,1.60000,-1.30000,0
Kepler-81 c,Transit,12.04000000,,,0,4.30000,2.70000,-1.80000,0
PSR B1257+12 c,Pulsar Timing,66.54190000,0.00010000,-0.00010000,0,4.30000,0.20000,-0.20000,0
K2-138 g,Transit,41.96797000,0.00843000,-0.00725000,0,4.32000,5.26000,-3.03000,0
HD 219134 c,Radial Velocity,6.76458000,0.00033000,-0.00033000,0,4.36000,0.22000,-0.22000,0
Kepler-51 c,Transit,85.31390000,0.00170000,-0.00170000,0,4.43000,0.54000,-0.54000,0
Kepler-36 b,Transit,13.83989000,0.00082000,-0.00060000,0,4.45000,0.33000,-0.27000,0
Kepler-1705 b,Transit,9.03502000,0.00065000,-0.00064000,0,4.47000,0.48000,-0.43000,0
Kepler-279 d,Transit,54.41400000,,,0,4.50000,1.20000,-0.90000,0
Kepler-29 c,Transit,13.28613000,0.00026000,-0.00021000,0,4.50000,1.10000,-1.10000,0
Kepler-305 c,Transit,8.29100000,,,0,4.50000,8.50000,-3.60000,0
Kepler-29 b,Transit,10.33840000,0.00030000,-0.00030000,0,4.51000,1.41000,-1.47000,0
pi Men c,Transit,6.26834000,0.00024000,-0.00024000,0,4.52000,0.81000,-0.81000,0
TOI-836 b,Transit,3.81673000,0.00001000,-0.00001000,0,4.53000,0.92000,-0.86000,0
Kepler-93 b,Transit,4.72674000,0.00000100,-0.00000100,0,4.54426,0.84796,-0.84796,0
HD 110113 b,Transit,2.54100000,0.00050000,-0.00100000,0,4.55000,0.62000,-0.62000,0
Kepler-10 b,Transit,0.83749500,0.00000400,-0.00000500,0,4.56000,1.17000,-1.29000,0
CoRoT-7 b,Transit,0.85400000,,,0,4.60000,1.10000,-1.20000,0
KOI-1599.01,Transit,20.44150000,0.00130000,-0.00130000,0,4.60000,0.30000,-0.30000,0
Kepler-10 b,Transit,0.83749120,0.00000030,-0.00000030,0,4.60000,1.26000,-1.26000,0
Kepler-105 c,Transit,7.12620000,0.00020000,-0.00020000,0,4.60000,0.92000,-0.85000,0
L 168-9 b,Transit,1.40150000,0.00018000,-0.00018000,0,4.60000,0.56000,-0.56000,0
Kepler-10 b,Transit,0.83749100,0.00000200,-0.00000200,0,4.60853,1.27132,-1.46202,0
HD 136352 b,Radial Velocity,11.57779000,0.00091000,-0.00110000,0,4.62000,0.45000,-0.44000,0
TOI-2136 b,Transit,7.85192500,0.00001600,-0.00001600,0,4.70000,3.10000,-2.60000,0
HD 136352 b,Radial Velocity,11.57797000,0.00008000,-0.00013000,0,4.72000,0.42000,-0.42000,0
CoRoT-7 b,Transit,0.85359165,0.00000005,-0.00000005,0,4.73000,0.95000,-0.95000,0
HD 3167 b,Transit,0.95965428,0.00000030,-0.00000029,0,4.73000,0.28000,-0.29000,0
HD 219134 b,Radial Velocity,3.09292600,0.00001000,-0.00001000,0,4.74000,0.19000,-0.19000,0
TOI-178 c,Transit,3.23845000,0.00002000,-0.00001900,0,4.77000,0.55000,-0.68000,0
TOI-270 d,Transit,11.37957300,0.00001300,-0.00001300,0,4.78000,0.43000,-0.43000,0
CoRoT-7 b,Transit,0.85358500,0.00002400,-0.00002400,0,4.80000,0.80000,-0.80000,0
Kepler-223 e,Transit,19.72567000,0.00055000,-0.00054000,0,4.80000,1.40000,-1.20000,0
Kepler-351 b,Transit,37.05300000,,,0,4.80000,5.70000,-4.70000,0
Kepler-60 c,Transit,8.91770000,0.00060000,-0.00060000,0,4.80000,1.00000,-1.00000,0
Kepler-68 c,Transit,9.60508500,0.00007200,-0.00007200,0,4.80000,2.50000,-3.60000,0
TOI-1452 b,Transit,11.06201000,0.00002000,-0.00002000,0,4.82000,1.30000,-1.30000,0
pi Men c,Transit,6.26790000,0.00046000,-0.00046000,0,4.82000,0.84000,-0.86000,0
GJ 9827 b,Transit,1.20900000,,,0,4.89000,0.43000,-0.42000,0
GJ 9827 b,Transit,1.20898190,0.00000693,-0.00000714,0,4.91000,0.49000,-0.49000,0
TOI-1634 b,Transit,0.98934300,0.00001500,-0.00001500,0,4.91000,0.68000,-0.70000,0
Kepler-1655 b,Transit,11.87287870,0.00000850,-0.00000850,0,5.00000,3.10000,-2.80000,0
Kepler-29 b,Transit,10.33974000,0.00014000,-0.00015000,0,5.00000,1.50000,-1.30000,0
Kepler-408 b,Transit,2.46502000,,,0,5.00000,,,1
