pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_rade
SWEEPS-11,b,Transit,1.796,0.03,,9.7,,,,269.758333,-29.198194,8500,,,1.1,1.45,,,12.666
WASP-28,b,Transit,3.408821,0.0455,0.046,0.91,,89.1,,353.616152,-1.580064,,,,,,,,12.554
WASP-2,b,Transit,2.152226,0.03138,0,0.914,0.87,84.8,,307.725542,6.429536,147,11.98,5200,0.89,0.84,,,12.52
WASP-49,b,Transit,2.7817387,0.0379,0,0.378,0.363,84.89,,91.089424,-16.965294,170,,5600,0.94,0.98,,,12.498
BOKS-1,b,Transit,3.90512,0.0477,0,,,89.8,0,294.865505,46.285854,800,,5545,0.95,0.86,,,12.442
KELT-1,b,Transit,1.217514,0.02466,0.0099,27.23,24.7,87.8,,0.362142,39.383808,262,,6518,1.32,1.46,,,12.442
XO-5,b,Transit,4.187757,0.0488,,1.059,0.96,86.7,,116.716527,39.094578,260,,5370,0.88,1.08,,,12.431
HAT-P-29,b,Transit,5.723186,0.0667,0.095,0.778,0.71,87.1,,33.131142,51.778759,322,,6087,1.21,1.22,,,12.408
WASP-38,b,Transit,6.871815,0.07522,0.0314,2.691,2.74,88.69,,243.959845,10.032566,110,,6150,1.2,1.33,HD 146389,,12.263
OGLE-TR-113,b,Transit,1.4324752,0.02289,,1.26,1.2,87.8,,163.101667,-61.446806,600,14.42,4790,0.78,0.77,,,12.251
HD 17156,b,Radial Velocity,21.21663,0.1614,0.6819,3.191,3.78,86.89,,42.435364,71.753235,78.25,8.162,6100,1.27,1.5,HD 17156,HIP 13192,12.184
WASP-42,b,Transit,4.9816872,0.0548,0.06,0.5,0.528,88.25,,192.981552,-42.073608,160,,5200,0.88,0.86,,,12.106
HAT-P-22,b,Transit,3.21222,0.0414,0.016,2.147,2.11,86.9,,155.681719,50.128345,82,,5302,0.92,1.04,HD 233731,,12.106
HAT-P-15,b,Transit,10.863502,0.0964,0.19,1.946,1.96,89.1,,66.248026,39.460636,190,,5568,1.01,1.08,,,12.016
HAT-P-31,b,Transit,5.005425,0.055,0.245,2.171,2.18,87.1,,271.537705,26.426662,354,,6065,1.22,1.36,,,11.994
WASP-21,b,Transit,4.322482,0.052,0,0.3,0.319,88.75,,347.492721,18.396086,242,,5800,1.01,1.06,,,11.994
TrES-1,b,Transit,3.030065,0.03925,0,0.752,0.769,90,,286.041017,36.632649,152.3,11.79,5230,0.88,0.81,,,11.96
OGLE-TR-111,b,Transit,4.0161,0.04689,,0.55,0.59,88.25,,163.324625,-61.405639,,15.55,5040,0.85,0.83,,,11.781
CoRoT-23,b,Transit,3.6313,0.048,0.16,2.8,,85.7,,279.782615,4.357806,600,,5900,1.14,1.61,,,11.77
CoRoT-9,b,Transit,95.2738,0.407,0.11,0.84,0.9,89.99,,280.786712,6.204172,460,,5625,0.99,0.94,,,11.769
HAT-P-27,b,Transit,3.039586,0.0403,0.078,0.66,0.73,84.7,,222.767436,5.947368,204,,5300,0.94,0.9,,,11.635
WASP-8,b,Transit,8.158715,0.0801,0.31,2.244,,88.55,,359.900292,-35.031391,87,,5600,1.03,0.94,,,11.63
WASP-10,b,Transit,3.0927616,0.03781,,3.15,3.91,89.5,,348.992912,31.462852,90,,4675,0.75,0.7,,,11.545
HAT-P-21,b,Transit,4.124481,0.0494,0.228,4.063,4.68,87.2,,171.274955,41.027954,254,,5588,0.95,1.11,,,11.478
CoRoT-17,b,Transit,3.7681,0.0461,0,2.43,2.82,88.34,,278.699254,-6.612234,920,,5740,1.04,1.59,,,11.433
HAT-P-17,b,Transit,10.338523,0.0882,0.346,0.53,0.64,89.2,,324.536396,30.488716,90,,5246,0.86,0.84,,,11.321
CoRoT-3,b,Transit,4.2568,0.057,0,21.66,26.4,85.9,,292.055263,0.12182,680,,6740,1.37,1.56,,,11.321
WASP-16,b,Transit,3.1186009,0.0421,0,0.855,1.104,85.22,,214.683032,-20.275484,,,5700,1.02,0.95,,,11.3
WASP-11/HAT-P-10,b,Transit,3.7224747,0.0435,0,0.487,0.594,88.6,,47.368964,30.673594,121.7,,4980,0.83,0.79,,,11.265
XO-2,b,Transit,2.615864,0.0368,,0.565,,,,117.026951,50.225815,148,11.18,5340,0.97,0.98,,,11.164
HAT-P-18,b,Transit,5.508023,0.0559,0.084,0.197,0.25,88.8,,256.346473,33.012512,166,,4803,0.77,0.75,,,11.153
HD 80606,b,Radial Velocity,111.4357,0.449,0.9332,3.94,4.828,89.32,,140.65654,50.603722,29.04,9.001,5645,0.97,0.98,HD 80606,HIP 45982,10.985
CoRoT-10,b,Transit,13.2406,0.1055,0.53,2.75,3.7,88.55,,291.063708,0.746143,345,,5075,0.89,0.79,,,10.873
WASP-23,b,Transit,2.9444256,0.0376,0.062,0.884,,88.39,,101.127586,-42.761826,,,5150,0.78,0.76,,,10.783
Kepler-15,b,Transit,4.942782,0.05714,0.06,0.66,0.93,87.44,0,296.200595,49.140125,,,5515,1.02,0.99,,,10.761
Kepler-30,d,Transit,143.213,0.5,,17,,,1,285.283636,38.947281,1400,,5498,0.99,0.95,,,10.7
HAT-P-12,b,Transit,3.2130598,0.0384,0,0.21,0.3192,89,,209.389489,43.493534,142.5,,4650,0.73,0.7,,,10.492
WASP-43,b,Transit,0.813475,0.0142,0,1.78,2.939,82.6,,154.908372,-9.806276,80,,4400,0.58,0.6,,,10.424
Lupus-TR-3,b,Transit,3.91405,0.0464,0,0.81,1.4,88.3,,232.577571,-42.979908,2000,,5000,0.87,0.82,,,9.976
Kepler-41,b,Transit,1.855558,0.03,0,0.55,1.1,88.3,0,294.513229,45.981644,770,,5620,1.12,1.02,,,9.976
CoRoT-13,b,Transit,4.03519,0.051,0,1.308,2.34,88.02,,102.721137,-5.086445,1060,,5945,1.09,1.01,,,9.92
HAT-P-20,b,Transit,2.875317,0.0361,0.015,7.246,13.78,86.8,,111.916469,24.33663,70,,4595,0.76,0.69,,,9.718
Kepler-9,b,Transit,19.24,0.14,0.15,0.252,0.524,,1,285.573978,38.400898,650,,5777,1.07,1.02,,,9.438
CoRoT-20,b,Transit,9.2,0.0902,0.562,4.24,,88.21,,97.720408,0.226919,1230,,5880,1.14,1.02,,,9.42
HAT-P-3,b,Transit,2.899736,0.03866,0,0.591,1.29,87.07,,206.09411,48.02867,139,11.577,5185,0.92,0.8,,,9.27
HAT-P-38,b,Transit,4.640382,0.0523,0.067,0.267,0.59,88.3,,,,249,,5330,0.89,0.92,,,9.247
Kepler-9,c,Transit,38.91,0.225,0.13,0.171,0.383,,1,285.573978,38.400898,650,,5777,1.07,1.02,,,9.225
HD 149026,b,Radial Velocity,2.8758911,0.04288,0,0.368,0.85,88,,247.623413,38.347309,78.86,8.137,6160,1.35,1.54,HD 149026,HIP 80838,9.113
SWEEPS-04,b,Transit,4.2,0.055,,3.8,,,,269.724667,-29.189056,8500,,,1.24,1.18,,,9.079
Kepler-46,b,Transit,33.60134,0.1968,0.01,6,14,89.038,1,289.26874,42.604172,855,,5155,0.9,0.94,,,9.057
WASP-29,b,Transit,3.922727,0.0457,0.03,0.244,0.65,88.8,,357.879538,-39.906719,70,,4800,0.82,0.81,,,8.878
Kepler-34,b,Transit,288.822,1.0896,0.182,0.22,0.613,90.355,,296.435821,44.64156,1499,,5913,1.05,1.16,,,8.564
Kepler-16,b,Transit,228.776,0.7048,0.0069,0.333,0.964,90.032,0,289.07571,51.757439,61,,4450,0.69,0.65,,,8.449
Kepler-35,b,Transit,131.458,0.60347,0.042,0.127,0.41,90.76,,294.496978,46.689762,1645,,5606,0.89,1.03,,,8.16
KOI-1727,b,Transit,49.76971,0.2672,0,,,89.2,0,284.27396,41.535019,,,5619,1.03,1.27,,,8.05
Kepler-18,d,Transit,14.85888,0.1172,0,0.0516,0.27,88.07,1,298.079439,44.746326,,,5345,0.97,1.11,,,6.98
CoRoT-8,b,Transit,6.21229,0.063,0,0.22,1.6,88.4,,291.588518,1.426452,380,,5080,0.88,0.77,,,6.389
HAT-P-26,b,Transit,4.234516,0.0479,0.124,0.059,0.4,88.6,,213.156383,4.059997,134,,5079,0.82,0.79,,,6.333
Kepler-18,c,Transit,7.64159,0.0752,0,0.05443,0.59,87.68,1,298.079439,44.746326,,,5345,0.97,1.11,,,5.49
Kepler-33,d,Transit,21.77596,0.1662,0,,,88.71,0,289.077548,46.005222,,,5904,1.29,1.82,,,5.35
Kepler-27,c,Transit,31.3309,0.191,,13.8,,,1,292.236769,41.085876,,,5400,0.65,0.59,,,4.9
HAT-P-11,b,Transit,4.8878162,0.053,0.198,0.081,1.33,88.5,0,297.709351,48.080856,36.36,9.472,4510,0.66,0.88,,HIP 97657,4.73
Kepler-47,c,Transit,303.158,0.989,0.411,,,89.826,,,,,,5636,1.04,0.96,,,4.61
Kepler-11,e,Transit,31.9959,0.194,0,0.026,0.5,88.8,1,297.115123,41.909138,613,,5680,0.95,1.1,,,4.52
Kepler-25,c,Transit,12.7204,0.11,,4.16,,,1,286.638394,39.487892,,,6190,1.22,1.36,,,4.5
Kepler-33,f,Transit,41.02902,0.2535,0,,,89.17,0,289.077548,46.005222,,,5904,1.29,1.82,,,4.46
Kepler-31,b,Transit,20.8609,0.16,,,,,0,294.023014,45.853081,2100,,6340,1.21,1.22,,,4.3
Kepler-31,c,Transit,42.633,0.26,,4.7,,,0,294.023014,45.853081,2100,,6340,1.21,1.22,,,4.2
GJ 3470,b,Transit,3.33714,0.0348,0.051,0.0441,1.07,88.8,,119.774345,15.391492,,12.33,3520,0.46,,,,4.2
Kepler-32,b,Transit,5.90124,0.05,,4.1,,,0,297.842403,46.574272,280,,3900,0.58,0.53,,,4.1
GJ 436,b,Radial Velocity,2.64385,0.0285,0.16,0.0737,2.008,86.36,,175.546219,26.70657,10.23,10.65,3350,0.46,0.45,,HIP 57087,4.091
Kepler-33,e,Transit,31.7844,0.2138,0,,,88.94,1,289.077548,46.005222,,,5904,1.29,1.82,,,4.02
Kepler-4,b,Transit,3.21346,0.0456,0,0.077,1.91,89.76,0,285.615322,50.135754,550,,5857,1.22,1.49,,,4.002
Kepler-27,b,Transit,15.3348,0.118,,9.11,,,1,292.236769,41.085876,,,5400,0.65,0.59,,,4
Kepler-30,b,Transit,29.329,0.18,,0.2,,,1,285.283636,38.947281,1400,,5498,0.99,0.95,,,3.7
Kepler-32,c,Transit,8.7522,0.09,,0.5,,,1,297.842403,46.574272,280,,3900,0.58,0.53,,,3.7
Kepler-36,c,Transit,16.23855,0.1283,0.033,0.0254,0.891,89.98,1,291.25018,49.231834,470,,5911,1.07,1.63,,,3.679
Kepler-11,g,Transit,118.37774,0.462,0,0.944,,89.8,0,297.115123,41.909138,613,,5680,0.95,1.1,,,3.66
Kepler-26,c,Transit,17.2513,0.107,,0.375,,,1,284.940997,46.56654,,,4500,0.65,0.59,,,3.6
Kepler-29,b,Transit,10.3376,0.09,,0.4,,,1,298.348324,47.491226,1400,,5750,1,0.96,,,3.6
Kepler-26,b,Transit,12.2829,0.085,,0.38,,,1,284.940997,46.56654,,,4500,0.65,0.59,,,3.6
Kepler-28,b,Transit,5.9123,0.062,,1.51,,,0,292.137029,42.42942,,,4590,0.75,0.7,,,3.6
Kepler-11,d,Transit,22.68719,0.159,0,0.019,0.9,89.3,1,297.115123,41.909138,613,,5680,0.95,1.1,,,3.43
Kepler-28,c,Transit,8.9858,0.081,,1.36,,,1,292.137029,42.42942,,,4590,0.75,0.7,,,3.4
Kepler-33,c,Transit,13.17562,0.1189,0,,,88.19,0,289.077548,46.005222,,,5904,1.29,1.82,,,3.2
Kepler-23,c,Transit,10.7421,0.099,,2.7,,,1,294.218924,49.479225,800,,5760,1.11,1.52,,,3.2
Kepler-11,c,Transit,13.02502,0.106,0,0.042,2.3,89,0,297.115123,41.909138,613,,5680,0.95,1.1,,,3.15
Kepler-20,c,Transit,10.854092,0.093,0.319,0.05066,2.91,88.39,0,287.698004,42.338726,290,,5455,0.91,0.94,,,3.07
Kepler-47,b,Transit,49.514,0.2956,0.035,,,89.59,,,,,,5636,1.04,0.96,,,2.98
Kepler-29,c,Transit,13.2907,0.11,,0.3,,,0,298.348324,47.491226,1400,,5750,1,0.96,,,2.9
Kepler-20,d,Transit,77.61184,0.3453,0.601,0.06324,4.07,89.57,0,287.698004,42.338726,290,,5455,0.91,0.94,,,2.75
KOI-1725,b,Transit,9.8844,0.0751,0,,,88.42,0,283.62885,48.391003,,,4240,0.58,0.55,,,2.65
Kepler-11,f,Transit,46.68876,0.25,0,0.007,0.7,89.4,0,297.115123,41.909138,613,,5680,0.95,1.1,,,2.61
Kepler-25,b,Transit,6.2385,0.068,,12.7,,,1,286.638394,39.487892,,,6190,1.22,1.36,,,2.6
Kepler-24,c,Transit,12.3335,0.106,,1.6,,,1,290.413267,38.343754,1200,,5800,1.03,1.07,,,2.4
Kepler-24,b,Transit,8.1453,0.08,,1.6,,,1,290.413267,38.343754,1200,,5800,1.03,1.07,,,2.4
Kepler-22,b,Transit,289.8623,0.849,0,,14.7,89.764,0,289.217484,47.884464,190,,5518,0.97,0.98,,,2.38
Kepler-10,c,Transit,42.29485,0.2407,0,0.063,10,89.65,0,285.679394,50.241299,173,,5627,0.89,1.06,,,2.227
Kepler-18,b,Transit,3.504725,0.0447,0,0.0217,4.9,84.92,0,298.079439,44.746326,,,5345,0.97,1.11,,,2
55 Cnc,e,Transit,0.7365449,0.01583,,0.027,5.9,90,,133.149216,28.330818,12.53,5.938,5196,0.9,0.94,HD 75732,HIP 43587,2
Kepler-11,b,Transit,10.30375,0.091,0,0.014,3.1,88.5,0,297.115123,41.909138,613,,5680,0.95,1.1,,,1.97
