loc_rowid,pl_name,sy_snum,sy_pnum,sy_mnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_eqt,st_teff,st_logg,sy_dist
4144,K2-24 b,1,2,0,2016,20.88510000,0.154000,5.680,21.00000,0.63000,767,5743.00,4.29,170.5620000
4147,K2-24 c,1,2,0,2016,42.36330000,0.247000,7.820,27.00000,0.31000,606,5743.00,4.29,170.5620000
4191,K2-260 b,1,1,0,2018,2.62666570,0.040400,17.396,451.31860,0.50000,1957,6367.00,4.15,663.8340000
4194,K2-261 b,1,1,0,2018,11.63344000,0.102000,9.528,70.87609,0.48300,1080,5537.00,4.21,213.2830000
4195,K2-261 b,1,1,0,2018,11.63347800,0.108700,9.505,67.69745,0.43000,1030,5503.00,4.11,213.2830000
4197,K2-261 b,1,1,0,2018,11.63347800,0.103400,9.528,59.75174,0.38000,1046,5445.00,4.04,213.2830000
4200,K2-263 b,1,1,0,2018,50.81894700,0.257300,2.410,14.80000,5.70000,470,5368.00,4.51,162.4810000
4216,K2-266 d,2,4,0,2018,14.69700000,0.103500,2.930,8.90000,2.03000,538,4285.00,4.58,77.5586000
4218,K2-266 e,2,4,0,2018,19.48200000,0.124900,2.730,14.30000,2.21000,490,4285.00,4.58,77.5586000
4246,K2-27 b,3,1,0,2016,6.77131500,0.067020,4.480,30.90000,1.87000,902,5248.00,4.48,249.6450000
4328,K2-280 b,1,1,0,2018,19.89526000,0.146100,7.500,37.10000,0.48000,787,5500.00,4.21,391.5370000
4344,K2-285 b,1,4,0,2018,3.47174500,0.038170,2.590,9.68000,3.07000,1089,4975.00,4.40,154.9610000
4346,K2-285 c,1,4,0,2018,7.13804800,0.082400,3.530,15.68000,1.95000,741,4975.00,4.40,154.9610000
4358,K2-29 b,2,1,0,2016,3.25892630,0.040970,11.209,194.82979,0.76000,1076,5222.00,4.63,178.4750000
4360,K2-29 b,2,1,0,2016,3.25883210,0.042170,13.339,232.01590,0.53000,1171,5358.00,4.54,178.4750000
4365,K2-290 b,3,2,0,2019,9.21165000,0.092300,3.060,10.90000,4.10000,1230,6302.00,4.23,272.9090000
4366,K2-290 c,3,2,0,2019,48.36685000,0.305000,11.276,246.00042,1.01000,676,6302.00,4.23,272.9090000
4370,K2-292 b,1,1,0,2019,16.98410000,0.130000,2.630,24.50000,7.40000,795,5725.00,4.33,114.2930000
4376,K2-295 b,1,1,0,2018,4.02486700,0.045100,10.054,106.47305,0.61200,852,4444.00,4.63,232.8010000
